What are the blonde's first words after 4 years of college?, ,Would you like fries with that?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: What's it called when a blonde blows in another blonde's ear?,A: Data transfer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: How many Northern Californians does it take to screw in a lightbulb?,A: Hella.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: What is long and hard to a blonde?,A: Fourth grade.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One day a medical professor and his class were standing over a corpse and the professor said[COMMA] ''There are two things to being a medical forensicist.,First: Don't fear anything.'',After saying that[COMMA] the professor shoved his middle finger up the corpse's anus and licked it.,He then told the class to do the same.,After hesitating[COMMA] they all did it.,''Next[COMMA]'' the professor said[COMMA] ''you have to have a key observation finger.,Thus[COMMA] I licked my index finger.'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A boy goes to the drug store with his dad and sees the condom display., ,"Boy: ""Dad[COMMA] why do they do packs of one condom?""","Dad: ""Those are for the high-schoolers for Friday nights.""","Boy: ""So[COMMA] why do they make packs of three?"" ", ,"Dad: ""For the college guys for Friday[COMMA] Saturday and","Sunday nights."" ", ,"Boy: ""Then why do they make packs of 12?"" ", ,"Dad: ""Those are for married couples -- you know[COMMA] January[COMMA] February[COMMA] March.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jesus was worried about the drug epidemic plaguing the world.,In an effort to solve this dilemma[COMMA] he decided that a few apostles would return to earth and fetch a sample of each drug[COMMA] so they could understand what these substances did.,Two days after the operation is implemented[COMMA] the disciples begin to return.,"Jesus[COMMA] waiting at the door[COMMA] lets in each disciple: ""Who is it?"" ""It's Mark"" Jesus opens the door.","What did you bring Mark? ""Marijuana from Colombia"" ""Very well son[COMMA] come in."" ",Another soft knock is heard.,"Who is it? ""It's Matthew"" Jesus opens the door.","What did you bring Matthew? ""Cocaine from Bolivia"" ""Very well son[COMMA] come in."" ","At the next knock Jesus asks[COMMA] ""Who is it?"" ""It's John"" Jesus opens the door.","What did you bring John? ""Crack from New York"" ""Very well son[COMMA] come in."" ",Someone starts pounding on the door.," ""Who is it?"" ""It's Judas"" Jesus opens the door.","What did you bring Judas? ""FREEZE!","THIS IS THE FBI!"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Introductory Chemistry at Duke has been taught for about a zillion years by Professor Bonk (really)[COMMA] and his course is semi-affectionately known as ""Bonkistry"".",He has been around forever[COMMA] so I wouldn't put it past him to come up with something like this.,Anyway[COMMA] one year there were these two guys who were taking Chemistry and who did pretty well on all of the quizzes and the mid-terms and labs[COMMA] etc.[COMMA] such that going into the final they had a solid A.,These friends were so confident going into the final that the weekend before finals week (even though the Chem final was on Monday)[COMMA] they decided to go up to U Virginia and party with some friends up there.,They did this and had a great time., However[COMMA] with their hangovers and everything[COMMA] they overslept all day Sunday and didn't make it back to Duke until early Monday morning.,Rather than taking the final then[COMMA] they found Professor Bonk after the final and explained to him why they missed the final.,They told him that they went up to UVA for the weekend[COMMA] and had planned to come back in time to study[COMMA] but that they had a flat tire on the way back and didn't have a spare and couldn't get help for a long time and so were late getting back to campus.,Bonk thought this over and then agreed that they could make up the final on the following day.,The two guys were elated[COMMA] relieved and very proud of their story.,So[COMMA] they studied that night and went in the next day at the time Bonk had told them.,He placed them in separate rooms and handed each of them a test booklet and told them to begin.,They looked at the first problem[COMMA] which was something simple about molarity and solutions and was worth 5 points.,"Cool[COMMA] they thought[COMMA] ""this is going to be easy."" They did that problem and turned the page.",They were unprepared[COMMA] however[COMMA] for what they saw on the next page...,WHICH TIRE?,(95 points),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert Einstein used to go to dinners where he was invited to give a speech.,One day[COMMA] on his way to one of those dinners[COMMA] he told his chauffeur (who looked exactly like him) that he was dead tired of giving the same speech[COMMA] dinner after dinner.,"Well[COMMA] said the chaffeur[COMMA] ""I've got a good idea.",Why don't I give the speech since I've heard it so many times?'' So Albert's chauffeur gave the speech perfectly and even answered a few questions.,Then[COMMA] a professor stood up and asked him a really tough question about anti-matter which the chauffeur couldn't answer,Sir[COMMA] the answer to your question is so easy that I'll let my chauffeur answer it!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: Who has the right of way when four cars approach a four-way stop at the same time?,"A: The pick-up truck with the gun rack and the bumper sticker saying[COMMA] ""Guns don't kill people.","I do.""",Q: When driving through fog[COMMA] what should you use?,A: Your steering wheel.,Q: What is the difference between a flashing red traffic light and a flashing yellow traffic light?,A: The color.,Q: How do you deal with heavy traffic?,A: Heavy psychedelics.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
