Q: Why did the blonde become a big basketball fan?,A: Because every time they stopped the clock[COMMA] she thought that she had stopped aging.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: What do you call a boomerang that doesn't come back?,A: A stick.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: Why did the chicken cross the basketball court?, ,A: He heard the ref was blowing fowls.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft's Latest Venture, News just in of Microsoft's latest,venture: Microsoft Corporation has taken another step toward dominating every aspect of,American life with the introduction of Contraceptive98[COMMA] a suite of applications designed,for users who engage in sex.,Microsoft has been a pioneer in peer-to-peer connectivity and plug and play., It believes these technologies will,give it substantial leverage in penetrating the copulation enhancement market.,The product addresses two important user concerns: the need for virus protection and the need for a firewall to ensure the non-propagation of human beings., The Contraceptive98 suite consists,of three products: Condom98[COMMA] DeFetus 1.0 (from Sementec)[COMMA] and AIDScan 2.1 (from Norton,Utilities).,A free copy of Intercourse Explorer 4.0 is bundled in the package.,The suite,also comes in two expanded versions.,Contraceptive98 Professional is the Client/Server,edition[COMMA] for professionals in the sexual services sector.,Contraceptive98 Small Business,Edition is a package for startups[COMMA] aimed at the housewife and gigolo niches., While Contraceptive98 does not address nontraditional copulatory channels[COMMA] future plug-ins are planned for next year., OPERATION: Only one node in a,peer-to-peer connection needs to install the package., At installation[COMMA] the Condom98,software checks for minimum hardware.,If the user meets the requirements[COMMA] the product,installs and is sufficiently scaleable to meet most requirements.,After installation[COMMA],operation commences.,One precaution is that the user must be sure they have sufficient RAM to complete the session.,When the session is complete[COMMA] a disconnect is initiated[COMMA] and the user gets the message[COMMA] it is now safe to turn off your partner., DRAWBACKS: Usability testers report that frequent failures were a major concern during beta testing.,General Protection Fault was the most serious error encountered.,Early versions had numerous bugs[COMMA] but most of these have been eliminated.,The product needs to be installed each time its used., CONCLUSION: Contraceptive98 is a,robust product.,Despite its drawbacks[COMMA] it is reasonably good value for its $49.95 price,tag[COMMA] and is far superior to its shareware version.,Hopefully[COMMA] future releases (of the,software[COMMA] that is) will add missing functionality[COMMA] such as Backout and Restore[COMMA],uninterruptible Power Supply and Onboard Camera., Microsoft CEO Bill Gates is optimistic that ,Our contraceptive products will help users do to each other what we've been doing to our customers for years.,,,,,,,,,,,,,,,,,,,,,,,
A guy in the locker room saw another guy with a piece of cork up his ass.,''Why do you have a cork up your ass?'',''Well[COMMA] it's a long story.,But one day I was walking on the beach and I tripped over a bottle and woke up a genie who said he would grant me one wish.,I said[COMMA] 'No s**t!''',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Why do blondes have one more brain cell than cows?,So when you pull on a blonde's tit[COMMA] she doesn't s**t on the floor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A successful businessman flew to Vegas for the weekend to gamble.,He lost the shirt off his back[COMMA] and had nothing left but a quarter and the second half of his round trip ticket., All he needed to do was somehow get to,the airport[COMMA] and then he'd be home-free.,So he went out to the front of the casino where there was a cab waiting.,He got in and explained his situation to the cabbie.,He promised to send the driver money from home.,He offered him his credit card numbers[COMMA] his drivers license number[COMMA] his address[COMMA] etc...,The cabbie said[COMMA] ''If you don't have fifteen dollars[COMMA] get the hell out of my cab!'' ,So the businessman was forced to hitchhike to the airport and was barely in time to catch his flight., One year later the businessman[COMMA] having worked long and hard to regain his financial success[COMMA] returned to Vegas and this time he won big.,Feeling pretty good about himself[COMMA] he went out to the front of the casino to get a cab ride back to the airport.,Well who should he see out there[COMMA] at the end of a long line of cabs[COMMA] but his old buddy who had refused to give him a ride when he was down on his luck.,The businessman thought for a moment about how he could make the guy pay for his lack of charity[COMMA] and he hit on a plan., The businessman got in the first cab in the line[COMMA] ''How much for a ride to the airport[COMMA]'' he asked?, ''Fifteen bucks[COMMA]'' came the reply., ''And how much for you to give me a blowjob on the way?'', ''What?!,Get the hell out of my cab.'', ,The businessman got into the back of each cab in the long line and asked the same questions[COMMA] with the same result., When he got to his old friend at the back of the line[COMMA] he got in and asked[COMMA] ''How much for a ride to the airport?'' ,The cabbie replied[COMMA] ''Fifteen bucks.'' ,The businessman said[COMMA] ''OK[COMMA]'' and off they went.,Then[COMMA] as they drove slowly past the long line of cabs[COMMA] the businessman gave a big smile and thumbs up sign to each of the other drivers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: If you had one cricket ball in one hand and another cricket ball in your other hand[COMMA] what would you have?, ,A: A bloody big cricket.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: What do you call a dog that has balls of steel and is dragging them across cement?, A: Sparky.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What do you call two brunettes and a blonde in the NFL?,Two tight ends and a wide receiver!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two couples go on vacation together.,After a week[COMMA] they are thoroughly bored., The men decide that maybe life will take on new meaning if they change partners.,They all agree that it's an experiment worth trying.,The morning after the switch[COMMA] one of the husbands says[COMMA] ''I'm glad we tried this.,It was exhilarating.,Come on[COMMA] let's go in the other room and see how the girls got on.'' ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This guy was driving along a country road.," Along the side of the road he sees a sign: ""Apples[COMMA] $5.00 each.""",So he pulls over to the side of the road and asks the farmer why his apples are so expensive.," The farmer says[COMMA] ""Well[COMMA] these are peanut butter and jelly apples.""",So the guy buys one.," He says[COMMA] ""These apples only taste like jelly[COMMA] where's the peanut butter?"" The farmer says[COMMA] ""Turn the apple over and take a bit of the other side.""",Sure enough the other side tasted like peanut butter.,"So he continues on his way and along the side of the road he sees another sign: ""Apples[COMMA] $20.00 each.""",So he gets out and asks the farmer why these apples are so expensive.," ""These are ham and cheese apples[COMMA]"" the farmer says.", So the guy buys one.," The apple only tasted like ham[COMMA] so he asked the farmer why and he said[COMMA] ""Turn the apple over and you will taste the cheese.""","Then he is driving down the road again and he sees another sign: ""Apples[COMMA] $50.00 each.""","So he asks the farmer[COMMA] ""What's up with these apples being so expensive?""",The farmer tells him they are p***y apples., So the guy buys one.," He takes a bite into the apple and says ""This apple tastes like s**t!""","And the farmer says[COMMA] ""Turn it over.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A man strolls into a pharmacy and asks the assistant for some condoms., She asks[COMMA] ''What size please?'' ,"''Good question[COMMA]"" he replies[COMMA] "" I'm not sure[COMMA]""", ''Tell ya what., Right outside[COMMA] there's a fence with three holes in it[COMMA] stick your d**k in the holes and tell me which one it fits in[COMMA]'' suggests the lady., So he takes her advice[COMMA] goes outside and puts his d**k in the first hole., A woman walks past[COMMA] see's his d**k and starts feeling it., The man thinks[COMMA] ''Hey[COMMA] this ain't too bad.'' , Then he puts his d**k in the second hole[COMMA] another woman walks by[COMMA] and gives him a blow job., At this point[COMMA] he is literally blown away.,He quickly shoves his d**k in the last hole[COMMA] and yet another woman walks by[COMMA] and she starts to shag him.,After they are done rocking[COMMA] he high-steps it back inside and goes,to the counter., ,The assistant asks ''What size then?'' ,"Forget the condoms[COMMA] says the man[COMMA] ""how much for the fence?""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
