I asked my grandma if she had ever tried 69.,She said[COMMA] [QUOTE]No[COMMA] but I have done 53 -- that's all the sailors I could screw in one night.[QUOTE],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: What comes after 69?,A: Mouthwash.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A man dies[COMMA] and his wife gets him cremated.,She takes the ashes home and starts talking to them.,[QUOTE]You know that fur coat you promised me?,I bought it with the insurance money.,You know the new car you promised me?,I bought it with the insurance money.[QUOTE],Then she whispers[COMMA] [QUOTE]You know that blow job I promised you?,Well[COMMA] here it comes.[QUOTE] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnny was playing outside when he really had to go to the bathroom.,He runs in and his grandma was about to take a shower.,He looks at her crotch and says[COMMA] [QUOTE]Whats that?[QUOTE], She says[COMMA] [QUOTE]Well[COMMA] it's a beaver[COMMA] Johnny.[QUOTE],The next day the same thing happens[COMMA] only his mom is taking the shower.,He says[COMMA] [QUOTE]Mom I know what that is.,It's a beaver[COMMA] but I think grandma's is dead because it's tongue, is hanging out.[QUOTE],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A blonde goes on a hot date and ends up making out with the guy in his car.,The guy asks if she would like to go in the backseat.,[QUOTE]No![QUOTE] yells the blonde.,Things get even hotter[COMMA] and the guy asks again.,[QUOTE]For the last time[COMMA] no![QUOTE] says the blonde.,Frustrated[COMMA] the guy asks[COMMA] [QUOTE]Well[COMMA] why the hell not?[QUOTE],The blonde says[COMMA] [QUOTE]Because I wanna stay up here with you![QUOTE],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What's the definition of bravery?,A man with diarrhea chancing a fart!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: What did one butt cheek say to the other?,A: [QUOTE]Together[COMMA] we can stop this s**t.[QUOTE] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Three old ladies were sitting on a park bench[COMMA] and a man jumped out of the bushes and flashed them.,The first lady had a stroke[COMMA] the second lady had a stroke[COMMA] and the third lady's arm was too short to reach.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A little girl and her mother are at chuch when the little girl starts to feel sick.,Her mother tells her to go throw up in the bushes behind the church., When the little girl returns[COMMA] her mother asks her if she threw up.,[QUOTE]Yes[COMMA][QUOTE] the girl says.,[QUOTE]But I didn't have to go all the way around the back.,There was a box near the front door that said 'For the Sick.'[QUOTE] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whenever it looked like a battle would be imminent[COMMA] an old pirate captain would change into a red shirt.,After observing this behavior for a few months[COMMA] one of his crew members asked him what it meant.,The pirate captain replied[COMMA] [QUOTE]It's in case I get shot.,I don't want you crew members to see blood and freak out.[QUOTE] ,[QUOTE]That's very sensible[COMMA] sir.[QUOTE] At that moment[COMMA] the crew member spotted eight hostile ships on the horizon.,The captain all of a sudden looked very concerned.,He told the crew member[COMMA] [QUOTE]Get my brown pants.[QUOTE] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
