What do you get when you put 50 lawyers in a room with 50 lesbians?,One hundred people who don't do dick.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A lawyer was just waking up from anesthesia after surgery[COMMA] and his wife was sitting by his side.,His eyes fluttered open and he said[COMMA] [QUOTE]You're beautiful![QUOTE] and then he fell asleep again.,His wife had never heard him say that so she stayed by his side.,A couple of minutes later[COMMA] his eyes fluttered open and he said[COMMA] [QUOTE]You're cute![QUOTE] Well[COMMA] the wife was dissapointed because instead of [QUOTE]beautiful[COMMA][QUOTE] it was [QUOTE]cute.[QUOTE] She asked[COMMA] [QUOTE]What happened to 'beautiful'?[QUOTE] His reply was [QUOTE]The drugs are wearing off![QUOTE] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One day a man goes to a pet shop to buy a parrot.,The assistant takes the man to the parrot section and asks the man to choose one.,The man asks[COMMA] ''How much,is the yellow one?'',The assistant says[COMMA] ''$2000.'',The man is shocked and asks the assistant why it's so expensive.,The assistant explains[COMMA] ''This parrot is a very special one.,He knows typewriting and can type really fast.'',''What about the green one?'' the man asks.,The assistant says[COMMA] ''He costs $5000 because he knows typewriting and can answer incoming telephone calls and takes notes.'',''What about the red one?'' the man asks.,The assistant says[COMMA] ''That one's $10[COMMA]000.'',The man says[COMMA] ''What does HE do?'',The assistant says[COMMA] ''I don't know[COMMA] but the other two call him boss.'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: What's black and brown and looks good on a lawyer?,A: A Doberman pinscher.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
To surprise her husband[COMMA] an executive's wife stopped by his office.,When she opened the door[COMMA] she found him with his secretary sitting in his lap.,Without hesitating[COMMA] he dictated[COMMA] [QUOTE]And in conclusion[COMMA] gentlemen[COMMA] budget cuts or no budget cuts[COMMA] I cannot continue to operate this office with just one chair.[QUOTE] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boss: Who said that just because I,tried to kiss you at last month's Christmas,party[COMMA] you could neglect to do your work around,here?,Secretary: My lawyer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft's Latest Venture, News just in of Microsoft's latest,venture: Microsoft Corporation has taken another step toward dominating every aspect of,American life with the introduction of Contraceptive98[COMMA] a suite of applications designed,for users who engage in sex.,Microsoft has been a pioneer in peer-to-peer connectivity and plug and play., It believes these technologies will,give it substantial leverage in penetrating the copulation enhancement market.,The product addresses two important user concerns: the need for virus protection and the need for a firewall to ensure the non-propagation of human beings., The Contraceptive98 suite consists,of three products: Condom98[COMMA] DeFetus 1.0 (from Sementec)[COMMA] and AIDScan 2.1 (from Norton,Utilities).,A free copy of Intercourse Explorer 4.0 is bundled in the package.,The suite,also comes in two expanded versions.,Contraceptive98 Professional is the Client/Server,edition[COMMA] for professionals in the sexual services sector.,Contraceptive98 Small Business,Edition is a package for startups[COMMA] aimed at the housewife and gigolo niches., While Contraceptive98 does not address nontraditional copulatory channels[COMMA] future plug-ins are planned for next year., OPERATION: Only one node in a,peer-to-peer connection needs to install the package., At installation[COMMA] the Condom98,software checks for minimum hardware.,If the user meets the requirements[COMMA] the product,installs and is sufficiently scaleable to meet most requirements.,After installation[COMMA],operation commences.,One precaution is that the user must be sure they have sufficient RAM to complete the session.,When the session is complete[COMMA] a disconnect is initiated[COMMA] and the user gets the message[COMMA] it is now safe to turn off your partner., DRAWBACKS: Usability testers report that frequent failures were a major concern during beta testing.,General Protection Fault was the most serious error encountered.,Early versions had numerous bugs[COMMA] but most of these have been eliminated.,The product needs to be installed each time its used., CONCLUSION: Contraceptive98 is a,robust product.,Despite its drawbacks[COMMA] it is reasonably good value for its $49.95 price,tag[COMMA] and is far superior to its shareware version.,Hopefully[COMMA] future releases (of the,software[COMMA] that is) will add missing functionality[COMMA] such as Backout and Restore[COMMA],uninterruptible Power Supply and Onboard Camera., Microsoft CEO Bill Gates is optimistic that ,Our contraceptive products will help users do to each other what we've been doing to our customers for years.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There's something actionable in your pants.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Want to take a look at my benefit package?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I'd like to think inside your box.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I've got something you can take up the chain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Four expectant fathers pace in a hospital waiting room while their wives are in labor.,The nurse enters and tells the first man[COMMA] [QUOTE]Congratulations[COMMA] you're the father of twins.[QUOTE],[QUOTE]What a coincidence[COMMA][QUOTE] the man says.,[QUOTE]I work for the Minnesota Twins baseball team.[QUOTE],A little later[COMMA] the nurse returns and tells the second man[COMMA] [QUOTE]You are the father of triplets.[QUOTE],[QUOTE]That's really an incredible coincidence[COMMA][QUOTE] he answers.,[QUOTE]I work for the 3M Corporation.[QUOTE],An hour later[COMMA] the nurse tells the third man that his wife has just given birth to quadruplets.,The man says[COMMA] [QUOTE]I don't believe it!,I work for the Four Seasons.,What a coincidence.[QUOTE],After hearing this[COMMA] everyone's attention turns to the fourth guy who has just fainted.,He slowly regains consciousness and whispers[COMMA] [QUOTE]I should have never taken that job at Millennium Computers.[QUOTE] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An old woman walked into a dentist's office[COMMA] took off all her clothes and spread her legs.,The dentist said[COMMA] ''I think you have the wrong room.'',''You put in my husband's teeth last week[COMMA][QUOTE] she replied.,[QUOTE]Now you have to remove them.[QUOTE] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: Why are there hardly any dental professionals in Arkansas?,A: Because it takes 35 patients to make a full set of teeth.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A construction worker accidentally cuts off one of his ears with an electric saw.,He calls out to a guy walking on the street below[COMMA] [QUOTE]Hey[COMMA] do you see my ear down there?[QUOTE],The guy on the street picks up an ear and yells back[COMMA] [QUOTE]Is this it?[QUOTE],[QUOTE]No[COMMA][QUOTE] replies the construction worker.,[QUOTE]Mine had a pencil behind it.[QUOTE] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At the rate law schools are turning them out[COMMA] by 2050 there will be more lawyers than humans.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
